name,image_url,player_ids
Claudio Puelles,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-09/PUELLES_CLAUDIO_L_09-13.png?itok=zk0xmJMG,4717
Claudio Ribeiro,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-03/RIBEIRO_CLAUDIO_L_03-02.png?itok=nix2QO8f,9226
Clayton Carpenter,https://ufc.com/images/styles/athlete_bio_full_body/s3/2026-05/CARPENTER_CLAYTON_L_05-09.png?itok=-EqHzIom,14066
Cody Durden,https://ufc.com/images/styles/athlete_bio_full_body/s3/2026-03/DURDEN_CODY_L_03-07.png?itok=yMWYJd7t,1211;2723;9227
Cody Garbrandt,https://ufc.com/images/styles/athlete_bio_full_body/s3/2026-03/GARBRANDT_CODY_L_03-07.png?itok=dnoq3Vqu,1212;1424;2724;4877;6344
Conor McGregor,https://ufc.com/images/styles/athlete_bio_full_body/s3/2021-07/MCGREGOR_CONOR_L_07-10.png?itok=4nfY5p3K,1214;1426;2726;4719;6346;9229;11309;14032
Cory McKenna,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/1/MCKENNA_CORY_L_03-16.png?itok=ut1v5ftB,4720
Cynthia Calvillo,https://ufc.com/images/styles/athlete_bio_full_body/s3/2023-04/CALVILLO_CYNTHIA_L_04-08.png?itok=yVpQ3aT8,4723
Da'Mon Blackshear,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-04/BLACKSHEAR_DAMON_L_04-26.png?itok=0Xm7-SWL,1429;6349;11483
Da-un Jung,https://ufc.com/images/styles/athlete_bio_full_body/s3/2023-02/JUNG_DA_WOON_L_02-04.png?itok=bSYf64xP,4724
Damir Ismagulov,https://ufc.com/images/styles/athlete_bio_full_body/s3/2023-06/ISMAGULOV_DAMIR_L_07-01.png?itok=MLKWZE3r,6350
Dan Henderson,https://ufc.com/images/styles/athlete_bio_full_body/s3/image/ufc-fighter-container/67711/profile-galery/fullbodyleft-picture/Dan-Henderson_63_LeftFullBodyImage.png?VersionId=FJDbDcy7hdlRW_Ste2Cq5MirRIJJCv0n&amp;itok=BOfsYxHZ,1216;1430;2729;4725;6351;9232;11500
Daniel Cormier,https://ufc.com/images/styles/athlete_bio_full_body/s3/2020-08/CORMIER_DANIEL_L_08-15.png?VersionId=8c0xGmF.jAN.__8bESM5BDrDOjfgi0MX&amp;itok=O4biSvvU,1218;1433;2732;4727;6354;9235;11387;14134
Daniel Marcos,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-12/MARCOS_DANIEL_L_02-10.png?itok=tbnSl-3X,1220;2734;9237
Daniel Rodriguez,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/RODRIGUEZ_DANIEL_L_10-12.png?itok=mKvHrwkT,4728
Daniel Santos,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-10/SANTOS_DANIEL_L_10-04.png?itok=d5eXco8w,14051
Daniel Zellhuber,https://ufc.com/images/styles/athlete_bio_full_body/s3/2026-02/ZELLHUBER_DANIEL_L_02-28.png?itok=qNBkI5VD,1221;2735;9238;14152
Danny Barlow,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-10/BARLOW_DANNY_L_10-18.png?itok=CWOOqKyG,1222;2736;9239
Darren Till,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-12/TILL_DARREN_L_12-10.png?itok=6_82z0ou,4729
Demian Maia,https://ufc.com/images/styles/athlete_bio_full_body/s3/2021-06/67794%252Fprofile-galery%252Ffullbodyleft-picture%252FMAIA_DEMIAN_L_06-12.png?itok=IFC0nwsD,4879
Derek Brunson,https://ufc.com/images/styles/athlete_bio_full_body/s3/2023-03/BRUNSON_DEREK_L_03-05.png?itok=kBDm__y8,4731;6356
Diego Ferreira,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-01/FERREIRA_DIEGO_L_01-18.png?itok=oGPz0TuD,4880
Diego Sanchez,https://ufc.com/images/styles/athlete_bio_full_body/s3/2020-09/SANCHEZ_DIEGO_L_02-15.png?VersionId=wQhmItCaHls0WX8jW8XYH4YtnuxmvKE0&amp;itok=kZN4EoqG,4881
Dione Barbosa,https://ufc.com/images/styles/athlete_bio_full_body/s3/2026-04/BARBOSA_DIONE_L_04-04.png?itok=w-GaUbuI,13986
Dominick Cruz,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/2/CRUZ_DOMINICK_L_12-11.png?itok=y_ZqxkMb,1224;1437;2739;4733;6359;11449
Donald Cerrone,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-05/06971e1e-4aa9-404e-96f4-b50c2f56c21f%252FCERRONE_DONALD_L_05-07.png?itok=GaeBsBw9,1439;2742;4882;6362;9244;11426;14135
Drew Dober,https://ufc.com/images/styles/athlete_bio_full_body/s3/2026-03/DOBER_DREW_L_03-07.png?itok=bOt7tlt4,11465
Dusko Todorovic,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-08/4526cb41-c0d2-423a-ad18-d8efe88477f3%252FTODOROVIC_DUSKO_L_05-21.png?itok=MEG6sUhG,6364
Dustin Jacoby,https://ufc.com/images/styles/athlete_bio_full_body/s3/2026-02/JACOBY_DUSTIN_L_02-07.png?itok=Zz2VC13r,4736
Edmen Shahbazyan,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-10/SHAHBAZYAN_EDMEN_L_10-04.png?itok=xYBQlRp0,4883
Edson Barboza,https://ufc.com/images/styles/athlete_bio_full_body/s3/2025-12/BARBOZA_EDSON_L_12-06.png?itok=9yABAH4t,2746;4884;9247
